participant_id,task_id,concept,label,analogy,Valid,Syntactic correctness,Misunderstanding,Factual Correctness,structural correspondence,Relational similarity,Familiarity,Helpfulness,Transferability,Simplicity,Domain,Relation Type
participant_33,T001,chocolate and cream,low calorie,This is similar to how one cannot find tsumanis in uk.,Yes,No,No,Yes without switch,1,3,3,3,4,4,"Weather, Place",FoundAt
participant_33,T010_2,nuts,high calorie,"This is similar to how we can find hairdryer in both hotel and hairdresser, you can’t determine where it is if you see hairdryer.",Yes,Yes,No,Yes without switch,3,3,5,3,5,5,"Place, Other",FoundAt
participant_46,P008_1,table and chair,conference room,"This is like atmosphere  can typically be associated with nitrogen , but it’s also possible to associate atmosphere  with oxygen.",Yes,Yes,No,Yes with switch,1,4,4,5,3,3,Other,PartOf
participant_10,P007_2,medical monitor,hospital room,"This is like care can typically be associated with patient, but it’s also possible to associate care with curtains for discretion.",No,,,,,,,#REF!,#REF!,,,
participant_10,P008_1,table and chair,conference room,"This is similar to how we can find business in both meetings and discussion, you can’t determine where it is if you see business.",No,,,,,,,#REF!,#REF!,,,
participant_27,T008_2,lemon,high calorie,This is similar to how one cannot find trees in chimneys.,No,,,,,,,#REF!,#REF!,,,
participant_27,T010_2,nuts,high calorie,This is similar to how one cannot find fire hydrants in boats.,Yes,Yes,No,Yes without switch,3,1,3,3,4,5,Transportation,FoundAt
participant_20,T008_2,lemon,high calorie,This is like ducks can seldom be found in zoo.,Yes,Yes,No,Yes without switch,3,1,3,3,4,5,Animals and Plants,FoundAt
participant_3,T006,chocolate and ice cream,high calorie,This is like having a wifi connection is definitely a sign of a router nearby.,Yes,Yes,No,Yes without switch,1,1,5,3,3,4,Electronics,SignOf
participant_24,P004_1,toothbrush and towel,bathroom,This is like volts is definitely a sign of electricity.,Yes,Yes,No,Yes without switch,1,1,5,3,3,3,Other,UsedFor
participant_24,P008_1,table and chair,conference room,"This is similar to how we can find water in both ocean and river, you can’t determine where it is if you see water.",Yes,Yes,No,Yes without switch,1,4,5,5,5,5,Other,PartOf
participant_7,P004_1,toothbrush and towel,bathroom,"This is like supermarket can typically be associated with food, but it’s also possible to associate supermarket with shoppers.",Yes,Yes,No,Yes without switch,1,1,5,5,4,5,Food,FoundAt
participant_7,P007_2,medical monitor,hospital room,"This is like motorway can typically be associated with traffic, but it’s also possible to associate motorway with congestion.",Yes,Yes,No,Yes without switch,3,1,4,5,3,5,Transportation,SignOf
participant_25,T002,beet and apple,high calorie,"This is like a healthy lunch can typically be associated with eating well, but it’s also possible to associate a healthy lunch with high fructose content.",No,,,,,,,#REF!,#REF!,,,
participant_13,T001,chocolate and cream,low calorie,This is similar to how one cannot find royalty and poor in athletes unfit.,No,,,,,,,#REF!,#REF!,,,
participant_13,T010_2,nuts,high calorie,This is like woolly jumper warm is definitely a sign of roses pretty.,No,,,,,,,#REF!,#REF!,,,
participant_23,T002,beet and apple,high calorie,"This is similar to how we can find healthy in both garden and supermarket, you can’t determine where it is if you see healthy.",Yes,No,Yes,Yes without switch,1,3,5,3,4,3,"Health, Place",FoundAt
participant_23,T010_2,nuts,high calorie,"This is like dog can typically be associated with aviary, but it’s also possible to associate dog with hospital.",Yes,Yes,No,No,3,1,3,1,1,3,Animals and Plants,FoundAt
participant_37,P003_1,window and curtain,bedroom,This is like sleeping is definitely a sign of comfortable.,No,,,,,,,#REF!,#REF!,,,
participant_37,P009_1,fireplace,bedroom,"This is like holiday home can typically be associated with art, but it’s also possible to associate holiday home with relaxing.",Yes,Yes,No,No,1,1,4,1,1,5,Art,UsedFor
participant_44,P008_1,table and chair,conference room,"This is like fruit sweet sour  can typically be associated with sky blue black , but it’s also possible to associate fruit sweet sour  with cat purring growling .",Yes,No,Yes,No,1,1,5,1,1,1,"Food, Place, Animals and Plants",SignOf
participant_44,P009_1,fireplace,bedroom,This is like cat in the air  can seldom be found in horse in the house .,No,,,,,,,#REF!,#REF!,,,
participant_32,P008_1,table and chair,conference room,"This is similar to how we can find buttons in both pants and shirt, you can’t determine where it is if you see buttons.",Yes,Yes,Yes,Yes without switch,1,1,5,3,5,5,Clothes,PartOf
participant_32,P009_1,fireplace,bedroom,This is like dogs can seldom be found in fishtank.,Yes,Yes,No,Yes without switch,3,3,4,3,3,5,Animals and Plants,FoundAt
participant_47,P003_1,window and curtain,bedroom,"This is similar to how we can find book in both library and house, you can’t determine where it is if you see book.",Yes,Yes,No,Yes without switch,1,4,5,5,4,5,"Place, Education",FoundAt
participant_47,P009_1,fireplace,bedroom,"This is similar to how we can find wig in both pantomime and courtroom, you can’t determine where it is if you see wig.",Yes,No,No,Yes without switch,3,3,4,3,3,3,Arts,FoundAt
participant_22,P008_1,table and chair,conference room,"This is like fish can typically be associated with water, but it’s also possible to associate fish with dinner.",Yes,Yes,No,Yes without switch,1,3,5,5,4,5,Food,SignOf
participant_48,T008_2,lemon,high calorie,This is similar to how having hair is irrelevant for recognising a human.,Yes,Yes,No,Yes without switch,3,1,5,5,5,5,Other,SignOf
participant_48,T009_1,carrot,high calorie,This is similar to how one cannot find a fish in on land.,Yes,No,No,Yes without switch,3,1,5,5,5,5,Animals and Plants,FoundAt
participant_38,P007_2,medical monitor,hospital room,This is like television can seldom be found in leisure centre.,No,,,,,,,#REF!,#REF!,,,
participant_11,P003_1,window and curtain,bedroom,"This is like water is to weather can typically be associated with health is to vegetables , but it’s also possible to associate water is to weather with vegetables are to food.",Yes,No,Yes,No,1,1,5,1,1,1,"Food, Health",SignOf
participant_11,P007_2,medical monitor,hospital room,This is like as burgers are to food is definitely a sign of as sport is to football.,Yes,No,Yes,No,1,3,5,1,1,4,"Food, Sports",SignOf
participant_11,P008_1,table and chair,conference room,"This is like protein is to food can typically be associated with finance is to money , but it’s also possible to associate protein is to food with protein is to chemistry.",No,,,,,,,#REF!,#REF!,,,
participant_17,T008_2,lemon,high calorie,"This is similar to how we can find sunshine in both the arctic and the desert, you can’t determine where it is if you see sunshine.",Yes,Yes,No,Yes with switch,3,1,5,3,4,5,"Weather, Place",FoundAt
participant_43,T006,chocolate and ice cream,high calorie,This is like people at the beach is definitely a sign of sunny and warm weather.,Yes,Yes,No,No,1,3,5,1,1,5,"Weather, Place",FoundAt
participant_14,P004_1,toothbrush and towel,bathroom,This is like clouds is definitely a sign of weather.,Yes,Yes,No,Yes without switch,1,1,5,5,4,5,Weather,SignOf
participant_14,P004_2,toilet,bathroom,This is like journal is definitely a sign of finance.,Yes,Yes,Yes,Yes without switch,3,1,4,5,3,5,Finance,SignOf
participant_14,P008_1,table and chair,conference room,This is like wild animals is definitely a sign of nature.,Yes,Yes,No,Yes without switch,3,1,4,5,3,5,Animals and Plants,SignOf
participant_14,P009_1,fireplace,bedroom,This is like art is definitely a sign of human expression.,Yes,Yes,No,Yes without switch,3,1,4,3,3,5,Art,UsedFor
participant_41,T008_2,lemon,high calorie,"This is similar to how we can find the rainbow flag in both associated with the lgbt community and also represent the nhs, you can’t determine where it is if you see the rainbow flag.",Yes,No,No,Yes without switch,3,3,3,3,3,4,Other,UsedFor
participant_1,P004_2,toilet,bathroom,This is like flush is definitely a sign of cistern.,Yes,Yes,Yes,Yes with switch,4,4,2,5,4,4,Other,SignOf
participant_1,P008_1,table and chair,conference room,"This is similar to how we can find table in both coffee machine and projection screen, you can’t determine where it is if you see table.",No,,,,,,,#REF!,#REF!,,,
participant_15,P004_2,toilet,bathroom,"This is like  relaxing place for long soak  can typically be associated with to do personal grooming, but it’s also possible to associate  relaxing place for long soak  with clean and cool.",Yes,No,No,No,3,1,1,1,1,3,Place,UsedFor
participant_15,P007_2,medical monitor,hospital room,"This is like vital signs indicated can typically be associated with multifunctional bed and table, but it’s also possible to associate vital signs indicated with noisy and stressful.",No,,,,,,,#REF!,#REF!,,,
participant_15,P009_1,fireplace,bedroom,This is like to help warm room can seldom be found in to make room cosy.,No,,,,,,,#REF!,#REF!,,,
participant_2,T002,beet and apple,high calorie,This is similar to how one cannot find politician in honesty.,Yes,Yes,No,Yes with switch,1,1,3,5,3,5,Other,SignOf
participant_2,T009_1,carrot,high calorie,This is similar to how one cannot find steak at a  in vegan restaurant.,No,,,,,,,#REF!,#REF!,,,
participant_36,T008_2,lemon,high calorie,This is like jeans can seldom be found in the gym.,Yes,Yes,No,Yes without switch,3,1,4,5,4,5,Clothes,FoundAt
participant_36,T010_2,nuts,high calorie,This is similar to how one cannot find beds in the gym.,Yes,Yes,No,Yes without switch,3,1,4,5,5,5,Place,FoundAt
participant_9,T008_2,lemon,high calorie,This is similar to how one cannot find rain in desert.,Yes,Yes,No,Yes without switch,3,1,4,5,5,5,Weather,FoundAt
participant_40,T006,chocolate and ice cream,high calorie,This is like car dealership is definitely a sign of car.,Yes,Yes,No,Yes without switch,1,3,5,5,5,5,Transportation,FoundAt
participant_28,P004_1,toothbrush and towel,bathroom,"This is similar to how we can find television in both room and office, you can’t determine where it is if you see television.",No,,,,,,,#REF!,#REF!,,,
participant_28,P004_2,toilet,bathroom,This is like cloud is definitely a sign of rain.,Yes,Yes,No,Yes with switch,3,1,5,5,3,5,Weather,SignOf
participant_28,P007_2,medical monitor,hospital room,This is like sink can seldom be found in parlour.,Yes,Yes,No,Yes without switch,3,3,4,5,4,5,Place,FoundAt
participant_16,P004_2,toilet,bathroom,This is like jockey is definitely a sign of horse racing.,Yes,Yes,No,Yes without switch,3,1,2,3,3,4,Sports,SignOf
participant_18,T002,beet and apple,high calorie,This is similar to how one cannot find sun on a cloudy day in naturally grown.,Yes,Yes,No,No,1,1,1,1,1,5,Weather,SignOf
participant_18,T006,chocolate and ice cream,high calorie,This is like high level of fat is definitely a sign of creamy dessert.,No,,,,,,,#REF!,#REF!,,,
participant_18,T008_2,lemon,high calorie,"This is similar to how we can find room in a house in both bill in a wallet and plant in a garden, you can’t determine where it is if you see room in a house.",Yes,No,No,No,1,1,2,1,1,5,Place,FoundAt
participant_5,P004_2,toilet,bathroom,This is like sanitation can seldom be found in malls.,Yes,Yes,No,No,3,3,4,1,1,5,Place,FoundAt
participant_4,T002,beet and apple,high calorie,This is like tigers can seldom be found in the antarctic.,Yes,Yes,Yes,Yes without switch,1,1,3,3,4,5,Place,FoundAt
participant_30,T001,chocolate and cream,low calorie,This is similar to how one cannot find bargains in harrods.,Yes,Yes,No,No,1,1,1,1,1,3,Other,FoundAt
participant_30,T010_2,nuts,high calorie,"This is like snow can typically be associated with winter, but it’s also possible to associate snow with skiing.",Yes,Yes,No,Yes without switch,3,1,5,5,5,5,Weather,SignOf
participant_34,T009_1,carrot,high calorie,"This is similar to how we can find hair in both shampoo and conditioner, you can’t determine where it is if you see hair.",Yes,Yes,No,No,3,1,4,1,1,5,Health,SignOf
participant_34,T010_2,nuts,high calorie,"This is similar to how we can find bed in both blanket and pillow, you can’t determine where it is if you see bed.",Yes,Yes,No,Yes with switch,3,2,5,5,3,5,Scene,PartOf
participant_45,P008_1,table and chair,conference room,"This is similar to how we can find couch in both cloud and clue, you can’t determine where it is if you see couch.",Yes,Yes,No,No,2,3,3,1,1,4,Other,PartOf
participant_45,P009_1,fireplace,bedroom,"This is like cat can typically be associated with cow, but it’s also possible to associate cat with farm.",Yes,Yes,No,Yes without switch,3,1,3,3,4,5,"Place, Animals and Plants",FoundAt
participant_42,T009_1,carrot,high calorie,This is like butterfly can seldom be found in in a bee hive.,Yes,Yes,No,Yes without switch,3,1,4,5,5,5,Animals and Plants,FoundAt
participant_49,P007_2,medical monitor,hospital room,This is similar to how one cannot find pots in shower cap.,Yes,Yes,Yes,Yes without switch,3,3,2,5,3,5,Other,FoundAt
participant_29,P004_2,toilet,bathroom,This is like beak is definitely a sign of bird.,Yes,Yes,No,Yes without switch,3,4,4,5,5,5,Animals and Plants,PartOf
