participant_id,task_id,concept,label,analogy,Valid,Syntactic correctness,Misunderstanding,Factual Correctness,structural correspondence,Relational similarity,Familiarity,Helpfulness,Transferability,Simplicity,Domain,Relation Type
participant_33,T008_2,lemon,high calorie,"This is similar to how we can find flowers in both planter and vase, you can’t determine where it is if you see flowers.",Yes,Yes,No,Yes with switch,3,3,3,3,3,3,"Plants,Scene",Insufficient
participant_46,P004_2,toilet,bathroom,This is like newspaper  is definitely a sign of headlines .,Yes,Yes,No,Yes with switch,5,5,5,5,5,5,Other,SignOf
participant_10,P004_1,toothbrush and towel,bathroom,This is like hygiene is definitely a sign of cleaning .,No,,,,,,,#REF!,#REF!,,,
participant_10,P007_2,medical monitor,hospital room,"This is like care can typically be associated with patient, but it’s also possible to associate care with curtains for discretion.",No,,,,,,,#REF!,#REF!,,,
participant_27,T002,beet and apple,high calorie,This is similar to how motorway is irrelevant is irrelevant for recognising a pot noodle cannot be associated.,Yes,No,Yes,No,1,1,1,1,1,1,Other,Irrelevant
participant_27,T010_2,nuts,high calorie,This is similar to how one cannot find fire hydrants in boats.,Yes,Yes,Yes,No,1,1,1,1,1,5,Scene/Place,FoundAt
participant_20,T002,beet and apple,high calorie,This is like healthy people can seldom be found in at the doctors.,Yes,Yes,No,Yes without switch,4,3,3,3,3,4,Health,FoundAt
participant_3,T001,chocolate and cream,low calorie,This is similar to how one cannot find elderly people in kindergarten classes.,Yes,Yes,No,Yes without switch,4,3,3,3,3,4,Scene/Place,FoundAt
participant_3,T010_2,nuts,high calorie,"This is similar to how we can find books in both libraries and bookshops, you can’t determine where it is if you see books.",Yes,Yes,No,Yes with switch,1,4,5,3,3,1,Scene/Place,FoundAt
participant_24,P008_1,table and chair,conference room,"This is similar to how we can find water in both ocean and river, you can’t determine where it is if you see water.",Yes,Yes,No,Yes without switch,4,5,5,5,5,5,Other,FoundAt
participant_24,P009_1,fireplace,bedroom,This is like humans can seldom be found in arctic.,Yes,Yes,No,Yes without switch,5,5,5,5,5,5,Other,FoundAt
participant_7,P007_2,medical monitor,hospital room,"This is like motorway can typically be associated with traffic, but it’s also possible to associate motorway with congestion.",Yes,Yes,No,Yes without switch,3,3,5,4,4,4,Transportation,SignOf
participant_7,P009_1,fireplace,bedroom,This is like tourists can seldom be found in cemetary.,Yes,Yes,No,Yes without switch,5,5,5,5,5,5,Scene/Place,FoundAt
participant_25,T009_1,carrot,high calorie,This is similar to how one cannot find steamed healthy nutrients in things that're bad for you.,No,,,,,,,#REF!,#REF!,,,
participant_13,T008_2,lemon,high calorie,This is similar to how one cannot find university dumb in aeroplane slow.,Yes,Yes,Yes,No,1,1,1,1,1,3,Scene/Place,FoundAt
